name,color,text
Special Week,#B5D4F4,#0C447C
Silence Suzuka,#F4C0D1,#72243E
Tokai Teio,#CED0FF,#3C3489
Maruzensky,#F5C4B3,#712B13
Oguri Cap,#FAC775,#633806
Gold Ship,#D3D1C7,#444441
Vodka,#F5C4B3,#712B13
Daiwa Scarlet,#F7C1C1,#791F1F
Taiki Shuttle,#c8feda,#8bf41b
Grass Wonder,#9FE1CB,#085041
Mejiro McQueen,#C0DD97,#3B6D11
El Condor Pasa,#C0DD97,#3B6D11
Symboli Rudolf,#D3D1C7,#444441
Air Groove,#C0DD97,#3B6D11
Mayano Top Gun,#FAC775,#633806
Mejiro Ryan,#5ebabf,#8389e3
Rice Shower,#F4C0D1,#72243E
Agnes Tachyon,#F7C1C1,#791F1F
Winning Ticket,#FAC775,#633806
Sakura Bakushin O,#e96dbe,#a06a76
Super Creek,#9FE1CB,#085041
Haru Urara,#F5C4B3,#712B13
Matikanefukukitaru,#B5D4F4,#0C447C
Nice Nature,#943526,#7887a0
King Halo,#F4C0D1,#72243E
T.M. Opera O,#FAC775,#633806
Mihono Bourbon,#B5D4F4,#0C447C
Biwa Hayahide,#CED0FF,#3C3489
Curren Chan,#F4C0D1,#72243E
Narita Taishin,#D3D1C7,#444441
Smart Falcon,#9FE1CB,#085041
Narita Brian,#F7C1C1,#791F1F
Seiun Sky,#B5D4F4,#0C447C
Hishi Amazon,#F5C4B3,#712B13
Fuji Kiseki,#9FE1CB,#085041
Gold City,#C0DD97,#3B6D11
Meisho Doto,#B5D4F4,#0C447C
Eishin Flash,#FAC775,#633806
Hishi Akebono,#9FE1CB,#085041
Agnes Digital,#B5D4F4,#0C447C
Kawakami Princess,#F4C0D1,#72243E
Manhattan Cafe,#CED0FF,#3C3489
Tosen Jordan,#FAC775,#633806
Mejiro Dober,#F5C4B3,#712B13
Fine Motion,#CED0FF,#3C3489
Tamamo Cross,#F7C1C1,#791F1F
Sakura Chiyono O,#F4C0D1,#72243E
Mejiro Ardan,#F7C1C1,#791F1F
Admire Vega,#3b30ef,#55b8b6
Matikanetannhauser,#7887a0,#8389e3
Kitasan Black,#D3D1C7,#444441
Satono Diamond,#CED0FF,#3C3489
Mejiro Bright,#7cc4f7,#55b8b6
Nishino Flower,#c0be0d,#c8feda
